2.2	ACRONYMS AND ABBREVIATIONS

4-CP	4-Coincident Peak
AAA	American Arbitration Association
AAN	Advance Action Notice
AASP	Average Aggregated Set Point
ACE	Area Control Error
ACH	Automated Clearing House
ACL	Available Credit Limit
ADR	Alternative Dispute Resolution
AEIC	Association of Edison Illuminating Companies
AGC	Automatic Generation Control
AGR	Aggregate Generation Resource
AIL	Aggregate Incremental Liability 
ALA	Applicable Legal Authority
ALR	Aggregate Load Resource
AML	Adjusted Metered Load
AMP	Automatic Mitigation Plan
AMS	Advanced Metering System
ANSI ASC X12	American National Standards Institute Accredited Standards Committee X12
AREP	Affiliated Retail Electric Provider
ARR	Adjusted SRPS Requirement
ASDC	Ancillary Service Demand Curve
AVR	Automatic Voltage Regulator
 
BLT	Block Load Transfer
BSS	Black Start Service

CAO	Control Area Operator
CARD	CRR Auction Revenue Distribution
CCD+	Cash Concentration and Disbursement Plus
CCF	Capacity Conversion Factor
CCN	Certificate of Convenience and Necessity
CCT	Constraint Competitiveness Test
CEGE	Critical Electric Grid Equipment
CEGS	Critical Electric Grid Services
CEO	Chief Executive Officer
CFC	Constant Frequency Control
CFE	Comision Federal de Electricidad
CFTC	Commodity Futures Trading Commission
CIM	Common Information Model
CMLTD	Current Maturities of Long-Term Debt
CMP	Constraint Management Plan
CMZ	Congestion Management Zone
COP	Current Operating Plan
CPS	Control Performance Standard 
CPT	Central Prevailing Time
CR	Competitive Retailer
CRR	Congestion Revenue Right
CRRBA	Congestion Revenue Right Balancing Account
CSA	Continuous Service Agreement
CSV	Comma Separated Value
CTX	Corporate Trade Exchange

DAM	Day-Ahead Market
DAS	Data Aggregation System
DASPP	Day-Ahead Settlement Point Price
DASWCAP	Day-Ahead System-Wide Offer Cap
DC	Direct Current 
DC Tie	Direct Current Tie
DCAA	Digital Certificate Audit Attestation
DCTO	Direct Current Tie Operator
DESR	Distribution Energy Storage Resource
DG	Distributed Generation
DGR	Distribution Generation Resource
DLC	Direct Load Control
DLF	Distribution Loss Factor
DME	Decision Making Entity
DRG	Distributed Renewable Generation
DRUC	Day-Ahead Reliability Unit Commitment
DSC	Debt Service Coverage
DSP	Distribution Service Provider
DSR	Dynamically Scheduled Resource
[NPRR1000:  Delete the acronym “DSR” above upon system implementation.]
DUNS	Data Universal Numbering System
DUNS #	DUNS Number

e-Tag	Electronic Tag
EAF	Equivalent Availability Factor
EAL	Estimated Aggregate Liability 
EC	Electric Cooperative
ECEII	ERCOT Critical Energy Infrastructure Information
